vhf_repository_id,vhf_code_id,publication_datetime,value,applies_from_datetime,applies_to_datetime,forward_period,forward_year
184950377,45747,15/12/2021 13:23,2,15/12/2021 13:22,15/12/2021 13:23,2,2022
184950374,45743,15/12/2021 13:23,2.0775,15/12/2021 13:22,15/12/2021 13:23,2,2022
184950371,45745,15/12/2021 13:23,2.0775,15/12/2021 13:22,15/12/2021 13:23,2,2022
184950368,45744,15/12/2021 13:23,2.0776,15/12/2021 13:22,15/12/2021 13:23,2,2022
184950365,45746,15/12/2021 13:23,2.0776,15/12/2021 13:22,15/12/2021 13:23,2,2022
184950361,45742,15/12/2021 13:23,18,15/12/2021 13:22,15/12/2021 13:23,1,2022
184950355,45738,15/12/2021 13:23,2.0916,15/12/2021 13:22,15/12/2021 13:23,1,2022
184950349,45740,15/12/2021 13:23,2.0914,15/12/2021 13:22,15/12/2021 13:23,1,2022
184950343,45739,15/12/2021 13:23,2.0928,15/12/2021 13:22,15/12/2021 13:23,1,2022
184950337,45741,15/12/2021 13:23,2.092,15/12/2021 13:22,15/12/2021 13:23,1,2022
184950325,45737,15/12/2021 13:23,3,15/12/2021 13:22,15/12/2021 13:23,3,2022
184950320,45733,15/12/2021 13:23,631.5,15/12/2021 13:22,15/12/2021 13:23,3,2022
184950315,45735,15/12/2021 13:23,631.5,15/12/2021 13:22,15/12/2021 13:23,3,2022
184950310,45734,15/12/2021 13:23,631.5,15/12/2021 13:22,15/12/2021 13:23,3,2022
184950305,45736,15/12/2021 13:23,631.5,15/12/2021 13:22,15/12/2021 13:23,3,2022
184950299,45732,15/12/2021 13:23,29,15/12/2021 13:22,15/12/2021 13:23,2,2022
184950293,45728,15/12/2021 13:23,634.75,15/12/2021 13:22,15/12/2021 13:23,2,2022
184950287,45730,15/12/2021 13:23,634.75,15/12/2021 13:22,15/12/2021 13:23,2,2022
184950281,45729,15/12/2021 13:23,635.25,15/12/2021 13:22,15/12/2021 13:23,2,2022
184950275,45731,15/12/2021 13:23,635,15/12/2021 13:22,15/12/2021 13:23,2,2022
