description,external_description,description_short,external_query_str,vhf_code_id
Brent month 1 1-minute aggregated close,Crude Oil Brent,Brent M1 1-min close,CLOSE,45678
Brent month 1 1-minute aggregated high,Crude Oil Brent,Brent M1 1-min high,HIGH,45679
Brent month 1 1-minute aggregated low,Crude Oil Brent,Brent M1 1-min low,LOW,45680
Brent month 1 1-minute aggregated open,Crude Oil Brent,Brent M1 1-min open,OPEN,45681
Brent month 1 1-minute aggregated volume,Crude Oil Brent,Brent M1 1-min volume,VOLUME,45682
Brent month 2 1-minute aggregated close,Crude Oil Brent,Brent M2 1-min close,CLOSE,45683
Brent month 2 1-minute aggregated high,Crude Oil Brent,Brent M2 1-min high,HIGH,45684
Brent month 2 1-minute aggregated low,Crude Oil Brent,Brent M2 1-min low,LOW,45685
Brent month 2 1-minute aggregated open,Crude Oil Brent,Brent M2 1-min open,OPEN,45686
Brent month 2 1-minute aggregated volume,Crude Oil Brent,Brent M2 1-min volume,VOLUME,45687
Brent month 3 1-minute aggregated close,Crude Oil Brent,Brent M3 1-min close,CLOSE,45688
Brent month 3 1-minute aggregated high,Crude Oil Brent,Brent M3 1-min high,HIGH,45689
Brent month 3 1-minute aggregated low,Crude Oil Brent,Brent M3 1-min low,LOW,45690
Brent month 3 1-minute aggregated open,Crude Oil Brent,Brent M3 1-min open,OPEN,45691
Brent month 3 1-minute aggregated volume,Crude Oil Brent,Brent M3 1-min volume,VOLUME,45692
WTI month 1 1-minute aggregated close,Crude Oil WTI,WTI M1 1-min close,CLOSE,45693
WTI month 1 1-minute aggregated high,Crude Oil WTI,WTI M1 1-min high,HIGH,45694
WTI month 1 1-minute aggregated low,Crude Oil WTI,WTI M1 1-min low,LOW,45695
WTI month 1 1-minute aggregated open,Crude Oil WTI,WTI M1 1-min open,OPEN,45696
WTI month 1 1-minute aggregated volume,Crude Oil WTI,WTI M1 1-min volume,VOLUME,45697
WTI month 2 1-minute aggregated close,Crude Oil WTI,WTI M2 1-min close,CLOSE,45698
WTI month 2 1-minute aggregated high,Crude Oil WTI,WTI M2 1-min high,HIGH,45699
WTI month 2 1-minute aggregated low,Crude Oil WTI,WTI M2 1-min low,LOW,45700
WTI month 2 1-minute aggregated open,Crude Oil WTI,WTI M2 1-min open,OPEN,45701
WTI month 2 1-minute aggregated volume,Crude Oil WTI,WTI M2 1-min volume,VOLUME,45702
WTI month 3 1-minute aggregated close,Crude Oil WTI,WTI M3 1-min close,CLOSE,45703
WTI month 3 1-minute aggregated high,Crude Oil WTI,WTI M3 1-min high,HIGH,45704
WTI month 3 1-minute aggregated low,Crude Oil WTI,WTI M3 1-min low,LOW,45705
WTI month 3 1-minute aggregated open,Crude Oil WTI,WTI M3 1-min open,OPEN,45706
WTI month 3 1-minute aggregated volume,Crude Oil Brent,WTI M3 1-min volume,VOLUME,45707
Heating oil month 1 1-minute aggregated close,ULSD NY Harbor,HO M1 1-min close,CLOSE,45708
Heating oil month 1 1-minute aggregated high,ULSD NY Harbor,HO M1 1-min high,HIGH,45709
Heating oil month 1 1-minute aggregated low,ULSD NY Harbor,HO M1 1-min low,LOW,45710
Heating oil month 1 1-minute aggregated open,ULSD NY Harbor,HO M1 1-min open,OPEN,45711
Heating oil month 1 1-minute aggregated volume,ULSD NY Harbor,HO M1 1-min volume,VOLUME,45712
Heating oil month 2 1-minute aggregated close,ULSD NY Harbor,HO M2 1-min close,CLOSE,45713
